architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained,diagnosis
lstm,G_T,1,tier1_identifiable,5.0,0,ridge,0.6392475843429566,0.5567342162132263,0.0825133681297303,0.6371735501289368,0.0476190476190476,0.0020740342140197,0.0006929255575229,50,8,0.7999394536018372,0.7468116283416748,LINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,0,mlp_1,0.7196202278137207,0.557979941368103,0.1616402864456176,0.6371735501289368,0.0476190476190476,0.0020740342140197,0.0006929255575229,50,8,0.8491188883781433,0.7717065811157227,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,0,mlp_2,0.7197960615158081,0.6236133575439453,0.0961827039718627,0.6371735501289368,0.0476190476190476,0.0020740342140197,0.0006929255575229,50,8,0.8621741533279419,0.8280493021011353,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,1,ridge,0.4201873183250427,0.4800171732902527,-0.0598298549652099,0.418229199051857,0.0476190476190476,0.0019581192731857,0.0005988838984942,50,8,0.6500290036201477,0.6966700553894043,STRUCTURAL
lstm,G_T,1,tier1_identifiable,5.0,1,mlp_1,0.5597211718559265,0.4640589654445648,0.0956622064113617,0.418229199051857,0.0476190476190476,0.0019581192731857,0.0005988838984942,50,8,0.7527644038200378,0.6998352408409119,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,1,mlp_2,0.5759299993515015,0.5239145159721375,0.052015483379364,0.418229199051857,0.0476190476190476,0.0019581192731857,0.0005988838984942,50,8,0.7755188345909119,0.7486276626586914,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,2,ridge,0.3905166149139404,0.4132329702377319,-0.0227163553237915,0.3852007585763931,0.0476190476190476,0.0053158563375473,0.0013958838842267,50,8,0.6300636529922485,0.6476137042045593,STRUCTURAL
lstm,G_T,1,tier1_identifiable,5.0,2,mlp_1,0.4739086031913757,0.4056329727172851,0.0682756304740905,0.3852007585763931,0.0476190476190476,0.0053158563375473,0.0013958838842267,50,8,0.6927577257156372,0.6525031328201294,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,2,mlp_2,0.4708697199821472,0.4538870751857757,0.0169826447963714,0.3852007585763931,0.0476190476190476,0.0053158563375473,0.0013958838842267,50,8,0.7109960913658142,0.7109437584877014,STRUCTURAL
lstm,G_T,1,tier1_identifiable,5.0,3,ridge,0.4795531153678894,0.4687647223472595,0.0107883930206298,0.4767918109893799,0.0476190476190476,0.0027613043785095,0.0008484402061081,50,8,0.6933101415634155,0.6854721903800964,STRUCTURAL
lstm,G_T,1,tier1_identifiable,5.0,3,mlp_1,0.6202029585838318,0.4782894253730774,0.1419135332107544,0.4767918109893799,0.0476190476190476,0.0027613043785095,0.0008484402061081,50,8,0.7936789393424988,0.7138779163360596,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,3,mlp_2,0.6410380601882935,0.5088679194450378,0.1321701407432556,0.4767918109893799,0.0476190476190476,0.0027613043785095,0.0008484402061081,50,8,0.8207055330276489,0.761240541934967,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,4,ridge,0.4048936009407043,0.4673620462417602,-0.0624684453010558,0.4046820682287216,0.0476190476190476,0.0002115327119827,0.0004070206358898,50,9,0.6412792205810547,0.6890473961830139,STRUCTURAL
lstm,G_T,1,tier1_identifiable,5.0,4,mlp_1,0.4918790757656097,0.4272171854972839,0.0646618902683258,0.4046820682287216,0.0476190476190476,0.0002115327119827,0.0004070206358898,50,9,0.7049059867858887,0.6670478582382202,NONLINEAR_ENCODING
lstm,G_T,1,tier1_identifiable,5.0,4,mlp_2,0.5069068074226379,0.446798712015152,0.0601080954074859,0.4046820682287216,0.0476190476190476,0.0002115327119827,0.0004070206358898,50,9,0.7276372909545898,0.7028471231460571,NONLINEAR_ENCODING
lstm,G_h,1,tier1_identifiable,100.0,0,ridge,0.6333564996719361,0.5859938621520996,0.0473626375198364,0.5036296248435974,0.0476190476190476,0.1297268748283386,0.0033608335468053,87,29,0.7964474558830261,0.766189694404602,STRUCTURAL
lstm,G_h,1,tier1_identifiable,100.0,0,mlp_1,-3.073322296142578,-1.833977460861206,-1.239344835281372,0.5036296248435974,0.0476190476190476,0.1297268748283386,0.0033608335468053,87,29,0.3403903841972351,0.3209854960441589,SCALE_AMBIGUITY
