architecture,target,probe_type,tier,timescale_ms,n_neurons,r2_trained_mean,r2_trained_max,delta_r2_mean,selectivity_mean,n_significant,dominant_diagnosis,diagnosis_counts
lstm,tc_h_T_rank,mlp_1,3,20.0,5,0.7667900681495666,0.8045440912246704,0.11522153615951533,0.6593168388605118,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_h_T_rank,mlp_2,3,20.0,5,0.7646623969078064,0.7971958518028259,0.09922081232070919,0.6593168388605118,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_h_T_rank,ridge,3,20.0,5,0.6603997325897216,0.7307411074638367,-0.0004772758483886596,0.6593168388605118,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,tc_h_T_zscore,mlp_1,3,20.0,5,0.8470492243766785,0.8696357607841492,0.07556492090225216,0.6939728221893311,5,NONLINEAR_ENCODING,"{'NONLINEAR_ENCODING': 4, 'STRUCTURAL': 1}"
lstm,tc_h_T_zscore,mlp_2,3,20.0,5,0.8624571084976196,0.8771871328353882,0.01798973083496088,0.6939728221893311,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,tc_h_T_zscore,ridge,3,20.0,5,0.6994252705574036,0.7751989245414734,-0.01022863626480098,0.6939728221893311,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,tc_m_T,mlp_1,2,1.0,5,0.6438076138496399,0.6907667517662048,0.11412026882171626,0.508952689051628,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_T,mlp_2,2,1.0,5,0.654198408126831,0.699000358581543,0.06897166967391964,0.508952689051628,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_T,ridge,2,1.0,5,0.5316928195953368,0.6213829040527343,-0.009262850284576421,0.508952689051628,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,tc_m_T_rank,mlp_1,3,1.0,5,0.7762786984443665,0.8096915483474731,0.11947629451751704,0.6738267501592636,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_T_rank,mlp_2,3,1.0,5,0.7723068594932556,0.7980760335922241,0.09180202484130856,0.6738267501592636,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_T_rank,ridge,3,1.0,5,0.6738127255439759,0.7596847534179687,-0.01348531961441038,0.6738267501592636,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,tc_m_T_zscore,mlp_1,3,1.0,5,0.6454216599464416,0.6890383958816528,0.08609701395034783,0.5197078585624695,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_T_zscore,mlp_2,3,1.0,5,0.6636179447174072,0.7026512622833252,0.04272118806838983,0.5197078585624695,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,tc_m_T_zscore,ridge,3,1.0,5,0.5195420241355896,0.6154937028884888,-0.01084626913070674,0.5197078585624695,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,tc_m_h,mlp_1,2,100.0,5,0.7062172174453736,0.739022970199585,0.13237005472183222,0.4730322180986405,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_h,mlp_2,2,100.0,5,0.7069402217864991,0.73448246717453,0.0677096128463745,0.4730322180986405,5,NONLINEAR_ENCODING,"{'NONLINEAR_ENCODING': 4, 'STRUCTURAL': 1}"
lstm,tc_m_h,ridge,2,100.0,5,0.5974598979949952,0.6333564996719361,0.023341164588928178,0.4730322180986405,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,tc_m_h_rank,mlp_1,3,100.0,5,0.6611220240592957,0.7258148193359375,0.15262415409088131,0.5440983568429946,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
