architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained
lstm,G_T,1,tier1_identifiable,5.0,0,ridge,0.6392475843429566,0.5567342162132263,0.08251336812973031,0.6371735501289368,0.047619047619047616,0.0020740342140197756,0.00069292555752297,50,8,0.7999394536018372,0.7468116283416748
lstm,G_T,1,tier1_identifiable,5.0,0,mlp_1,0.7196202278137207,0.557979941368103,0.16164028644561768,0.6371735501289368,0.047619047619047616,0.0020740342140197756,0.00069292555752297,50,8,0.8491188883781433,0.7717065811157227
lstm,G_T,1,tier1_identifiable,5.0,0,mlp_2,0.7197960615158081,0.6236133575439453,0.09618270397186279,0.6371735501289368,0.047619047619047616,0.0020740342140197756,0.00069292555752297,50,8,0.8621741533279419,0.8280493021011353
lstm,G_T,1,tier1_identifiable,5.0,1,ridge,0.42018731832504275,0.4800171732902527,-0.05982985496520993,0.418229199051857,0.047619047619047616,0.00195811927318573,0.0005988838984942393,50,8,0.6500290036201477,0.6966700553894043
lstm,G_T,1,tier1_identifiable,5.0,1,mlp_1,0.5597211718559265,0.4640589654445648,0.0956622064113617,0.418229199051857,0.047619047619047616,0.00195811927318573,0.0005988838984942393,50,8,0.7527644038200378,0.6998352408409119
lstm,G_T,1,tier1_identifiable,5.0,1,mlp_2,0.5759299993515015,0.5239145159721375,0.052015483379364014,0.418229199051857,0.047619047619047616,0.00195811927318573,0.0005988838984942393,50,8,0.7755188345909119,0.7486276626586914
lstm,G_T,1,tier1_identifiable,5.0,2,ridge,0.3905166149139404,0.4132329702377319,-0.022716355323791515,0.38520075857639313,0.047619047619047616,0.005315856337547302,0.0013958838842267221,50,8,0.6300636529922485,0.6476137042045593
lstm,G_T,1,tier1_identifiable,5.0,2,mlp_1,0.47390860319137573,0.40563297271728516,0.06827563047409058,0.38520075857639313,0.047619047619047616,0.005315856337547302,0.0013958838842267221,50,8,0.6927577257156372,0.6525031328201294
lstm,G_T,1,tier1_identifiable,5.0,2,mlp_2,0.4708697199821472,0.45388707518577576,0.01698264479637146,0.38520075857639313,0.047619047619047616,0.005315856337547302,0.0013958838842267221,50,8,0.7109960913658142,0.7109437584877014
lstm,G_T,1,tier1_identifiable,5.0,3,ridge,0.4795531153678894,0.4687647223472595,0.010788393020629894,0.4767918109893799,0.047619047619047616,0.0027613043785095215,0.0008484402061081282,50,8,0.6933101415634155,0.6854721903800964
lstm,G_T,1,tier1_identifiable,5.0,3,mlp_1,0.6202029585838318,0.4782894253730774,0.1419135332107544,0.4767918109893799,0.047619047619047616,0.0027613043785095215,0.0008484402061081282,50,8,0.7936789393424988,0.7138779163360596
lstm,G_T,1,tier1_identifiable,5.0,3,mlp_2,0.6410380601882935,0.5088679194450378,0.13217014074325562,0.4767918109893799,0.047619047619047616,0.0027613043785095215,0.0008484402061081282,50,8,0.8207055330276489,0.761240541934967
lstm,G_T,1,tier1_identifiable,5.0,4,ridge,0.40489360094070437,0.46736204624176025,-0.062468445301055886,0.40468206822872166,0.047619047619047616,0.00021153271198272701,0.00040702063588980063,50,9,0.6412792205810547,0.6890473961830139
lstm,G_T,1,tier1_identifiable,5.0,4,mlp_1,0.49187907576560974,0.42721718549728394,0.0646618902683258,0.40468206822872166,0.047619047619047616,0.00021153271198272701,0.00040702063588980063,50,9,0.7049059867858887,0.6670478582382202
lstm,G_T,1,tier1_identifiable,5.0,4,mlp_2,0.5069068074226379,0.446798712015152,0.06010809540748596,0.40468206822872166,0.047619047619047616,0.00021153271198272701,0.00040702063588980063,50,9,0.7276372909545898,0.7028471231460571
lstm,G_h,1,tier1_identifiable,100.0,0,ridge,0.6333564996719361,0.5859938621520996,0.04736263751983649,0.5036296248435974,0.047619047619047616,0.12972687482833864,0.00336083354680538,87,29,0.7964474558830261,0.766189694404602
lstm,G_h,1,tier1_identifiable,100.0,0,mlp_1,-3.073322296142578,-1.833977460861206,-1.239344835281372,0.5036296248435974,0.047619047619047616,0.12972687482833864,0.00336083354680538,87,29,0.3403903841972351,0.32098549604415894
lstm,G_h,1,tier1_identifiable,100.0,0,mlp_2,-5.404392719268799,-1.0495269298553467,-4.354865789413452,0.5036296248435974,0.047619047619047616,0.12972687482833864,0.00336083354680538,87,29,0.37847891449928284,0.3998187184333801
lstm,G_h,1,tier1_identifiable,100.0,1,ridge,0.6014306783676148,0.5875370264053345,0.013893651962280318,0.4878635329008103,0.047619047619047616,0.11356714546680449,0.002690966534023454,90,30,0.7763367891311646,0.7687495350837708
lstm,G_h,1,tier1_identifiable,100.0,1,mlp_1,-3.5848705768585205,-1.9592220783233643,-1.6256484985351562,0.4878635329008103,0.047619047619047616,0.11356714546680449,0.002690966534023454,90,30,0.31595340371131897,0.30873745679855347
lstm,G_h,1,tier1_identifiable,100.0,1,mlp_2,-1.4938957691192627,-1.2535526752471924,-0.2403430938720703,0.4878635329008103,0.047619047619047616,0.11356714546680449,0.002690966534023454,90,30,0.39742863178253174,0.39598914980888367
lstm,G_h,1,tier1_identifiable,100.0,2,ridge,0.5580373764038086,0.5460857152938843,0.011951661109924294,0.44928378045558925,0.047619047619047616,0.10875359594821929,0.0025672024612867304,84,28,0.7475472092628479,0.7396214008331299
lstm,G_h,1,tier1_identifiable,100.0,2,mlp_1,-5.775426864624023,-2.703383445739746,-3.0720434188842773,0.44928378045558925,0.047619047619047616,0.10875359594821929,0.0025672024612867304,84,28,0.23104898631572723,0.26492661237716675
lstm,G_h,1,tier1_identifiable,100.0,2,mlp_2,-6.361590385437012,-0.49473053216934204,-5.86685985326767,0.44928378045558925,0.047619047619047616,0.10875359594821929,0.0025672024612867304,84,28,0.3132805824279785,0.3230407238006592
lstm,G_h,1,tier1_identifiable,100.0,3,ridge,0.5756143808364869,0.5553525447845459,0.020261836051940985,0.4483059316873551,0.047619047619047616,0.12730844914913175,0.0032725644760896455,87,29,0.7599996328353882,0.7483838796615601
lstm,G_h,1,tier1_identifiable,100.0,3,mlp_1,-2.917935371398926,-1.9550285339355469,-0.9629068374633789,0.4483059316873551,0.047619047619047616,0.12730844914913175,0.0032725644760896455,87,29,0.3376932740211487,0.3015930950641632
lstm,G_h,1,tier1_identifiable,100.0,3,mlp_2,-3.975735902786255,-2.526650905609131,-1.449084997177124,0.4483059316873551,0.047619047619047616,0.12730844914913175,0.0032725644760896455,87,29,0.44310951232910156,0.36332011222839355
lstm,G_h,1,tier1_identifiable,100.0,4,ridge,0.6188605308532715,0.5956266760826111,0.023233854770660423,0.4760782092809678,0.047619047619047616,0.14278232157230378,0.002598164273332628,105,35,0.7870492339134216,0.7724730372428894
lstm,G_h,1,tier1_identifiable,100.0,4,mlp_1,-2.2196154594421387,-1.269822120666504,-0.9497933387756348,0.4760782092809678,0.047619047619047616,0.14278232157230378,0.002598164273332628,105,35,0.35173940658569336,0.3516595661640167
